Time	I.max_1	I.total_1	I.back_1
11.594	64.70588	42.21351	33.20028
11.632	70.98039	42.28148	33.32633
11.672	70.98039	43.30283	33.90056
11.71	70.98039	43.90588	34.2437
11.75	70.98039	44.33987	34.36975
11.789	70.98039	44.76514	34.14566
11.827	77.25491	45.22876	34.14566
11.865	77.25491	46.36863	35.5112
11.904	77.25491	47.20174	36.19048
11.942	83.92157	47.57299	36.9958
11.981	83.92157	48.62397	37.21289
12.02	83.92157	48.96906	37.21289
12.059	83.92157	49.9451	38.0112
12.097	83.92157	50.38257	38.13025
12.136	83.92157	50.38257	38.13025
12.174	90.19608	51.32026	39.28572
12.214	90.19608	52.32418	39.27871
12.254	90.19608	52.8976	39.85994
12.294	90.19608	53.33333	39.76191
12.334	90.19608	53.19041	40.21709
12.372	90.19608	53.02135	40.10504
12.411	90.19608	52.52811	39.52381
12.45	83.92157	50.89847	38.82353
12.488	83.92157	49.92244	38.2493
12.527	77.25491	48.42876	36.9888
12.565	77.25491	46.66144	36.19748
12.605	70.98039	45.1451	35.05602
12.644	70.98039	44.16732	34.01961
12.682	70.98039	43.53464	33.55742
12.721	70.98039	43.07277	33.42437
12.761	70.98039	42.96296	33.20728
12.799	70.98039	43.16514	33.45238
12.838	70.98039	43.07277	33.33333
12.876	70.98039	43.44924	33.56443
12.916	70.98039	43.70719	33.67647
12.954	70.98039	44.05229	34.14566
12.993	70.98039	44.67799	34.36274
13.031	70.98039	44.97081	34.36975
13.069	77.25491	45.88061	35.51821
13.108	77.25491	46.54466	35.39916
13.146	77.25491	46.96819	35.84734
13.185	77.25491	47.76994	36.53361
13.225	83.92157	48.40087	37.10084
13.265	83.92157	49.00218	37.34594
13.303	83.92157	49.51982	37.44398
13.343	83.92157	50.17691	38.0112
13.381	83.92157	50.60915	38.01821
13.419	90.19608	51.46841	39.04762
13.458	90.19608	51.93029	39.18067
13.497	90.19608	51.78911	38.94258
13.536	90.19608	51.78911	38.94258
13.574	90.19608	52.00697	39.5028
13.613	83.92157	51.61307	39.27171
13.652	83.92157	50.70675	38.48039
13.691	83.92157	50.03748	38.71149
13.729	77.25491	48.91503	37.56303
13.77	77.25491	47.74205	37.0028
13.808	70.98039	46.34248	35.72829
13.862	70.98039	44.65359	34.59384
13.9	70.98039	44.05054	34.01961
13.939	70.98039	43.64793	34.01961
13.977	70.98039	43.70893	34.02661
14.016	70.98039	43.70893	34.02661
14.054	70.98039	43.50676	33.56443
14.093	70.98039	43.5939	33.22829
14.131	70.98039	43.97211	33.92157
14.171	70.98039	44.11329	34.2577
14.21	70.98039	44.73726	34.48179
14.249	77.25491	45.13464	34.92997
14.29	77.25491	45.7098	34.59384
14.328	77.25491	46.13508	35.27311
14.367	77.25491	46.62135	35.62325
14.406	77.25491	47.40044	36.42857
14.444	77.25491	47.39521	36.30252
14.484	83.92157	48.14292	36.31652
14.523	83.92157	48.79652	36.9958
14.561	83.92157	49.02658	37.56303
14.599	83.92157	49.62963	37.54902
